id,year,title,doi,url,cited_in_manuscript,verification
Bus2009,2009,Psychological Determinants of the Intention to Use the Bus in Ho Chi Minh City,10.5038/2375-0901.12.1.6,https://doi.org/10.5038/2375-0901.12.1.6,True,Crossref metadata checked against intended title and journal
Modal2019,2019,"Modal Preference in Ho Chi Minh City, Vietnam: An Experiment With New Modes of Transport",10.1177/2158244019841928,https://doi.org/10.1177/2158244019841928,True,Crossref metadata checked against intended title and journal
Bayes2024,2024,Applying a Bayesian network for modelling the shift from motorcycle to public transport use in Vietnam,10.1016/j.tra.2024.104062,https://doi.org/10.1016/j.tra.2024.104062,True,Crossref metadata checked against intended title and journal
Electric2023,2023,Can electric buses entice more public transport use? Empirical evidence from Vietnam,10.1016/j.cstp.2023.101040,https://doi.org/10.1016/j.cstp.2023.101040,True,Crossref metadata checked against intended title and journal
Kim2012,2012,The Mixed-Use Sidewalk: Vending and Property Rights in Public Space,10.1080/01944363.2012.715504,https://doi.org/10.1080/01944363.2012.715504,True,Crossref metadata checked against intended title and journal
Haklay2010,2010,How Good is Volunteered Geographical Information? A Comparative Study of OpenStreetMap and Ordnance Survey Datasets,10.1068/b35097,https://doi.org/10.1068/b35097,True,Crossref metadata checked against intended title and journal
Barrington2017,2017,The world’s user-generated road map is more than 80% complete,10.1371/journal.pone.0180698,https://doi.org/10.1371/journal.pone.0180698,True,Crossref metadata checked against intended title and journal
Boeing2017,2017,"OSMnx: New methods for acquiring, constructing, analyzing, and visualizing complex street networks",10.1016/j.compenvurbsys.2017.05.004,https://doi.org/10.1016/j.compenvurbsys.2017.05.004,True,Crossref metadata checked against intended title and journal
Goodchild2007,2007,Citizens as sensors: the world of volunteered geography,10.1007/s10708-007-9111-y,https://doi.org/10.1007/s10708-007-9111-y,True,Crossref metadata checked against intended title and journal
Neis2012,2012,Analyzing the Contributor Activity of a Volunteered Geographic Information Project — The Case of OpenStreetMap,10.3390/ijgi1020146,https://doi.org/10.3390/ijgi1020146,True,Crossref metadata checked against intended title and journal
Roberts2017,2017,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",10.1111/ecog.02881,https://doi.org/10.1111/ecog.02881,True,Crossref metadata checked against intended title and journal
Wasserstein2016,2016,"The ASA Statement on p-Values: Context, Process, and Purpose",10.1080/00031305.2016.1154108,https://doi.org/10.1080/00031305.2016.1154108,True,Crossref metadata checked against intended title and journal
Lakens2017,2017,"Equivalence Tests: A Practical Primer for t Tests, Correlations, and Meta-Analyses",10.1177/1948550617697177,https://doi.org/10.1177/1948550617697177,True,Crossref metadata checked against intended title and journal
Holm1979,1979,A Simple Sequentially Rejective Multiple Test Procedure,,https://www.jstor.org/stable/4615733,True,JSTOR bibliographic record; no DOI assigned here
Wilson1927,1927,"Probable Inference, the Law of Succession, and Statistical Inference",10.1080/01621459.1927.10502953,https://doi.org/10.1080/01621459.1927.10502953,True,Crossref metadata checked against intended title and journal
OSM2026,2026,Copyright and licence,,https://www.openstreetmap.org/copyright,True,Official source page checked
Geofabrik2026,2026,OpenStreetMap data extracts for Vietnam: historical files vietnam-230101.osm.pbf and vietnam-260101.osm.pbf,,https://download.geofabrik.de/asia/vietnam.html,True,Official source page checked
JICA2024,2024,Inauguration of Vietnam’s First Underground Urban Metro Line in Ho Chi Minh City,,https://www.jica.go.jp/english/information/press/2024/20241225_21.html,True,Official source page checked
